threshold,accuracy,auc,f1,precision,recall,logloss
0.3,0.7984585298516047,0.9062040159715676,0.8209687308399755,0.7427884615384616,0.9175422567382366,0.3781621263414586
0.31,0.7996088807086161,0.9062040159715676,0.821516393442623,0.7448903753251579,0.9157149383280037,0.3781621263414586
0.32,0.8017945473369378,0.9062040159715676,0.8227548606110483,0.7484559236384054,0.9134307903152125,0.3781621263414586
0.33,0.8017945473369378,0.9062040159715676,0.8223161802619366,0.7495769881556683,0.9106898126998629,0.3781621263414586
0.34,0.802829863108248,0.9062040159715676,0.8227141083988415,0.7517958412098299,0.9084056646870717,0.3781621263414586
0.35,0.8032900034510526,0.9062040159715676,0.8223192019950125,0.754288982081586,0.9038373686614892,0.3781621263414586
0.36,0.8040952490509605,0.9062040159715676,0.8222523744911805,0.7570632327503364,0.899725902238465,0.3781621263414586
0.37,0.8067410560220868,0.9062040159715676,0.8239362817019493,0.7612316034082107,0.8978985838282321,0.3781621263414586
0.38,0.8082365121362015,0.9062040159715676,0.8243969240492994,0.7650048875855328,0.8937871174052079,0.3781621263414586
0.39,0.8082365121362015,0.9062040159715676,0.8236911686938128,0.7669883789639551,0.8894472361809045,0.3781621263414586
0.4,0.8099620384217187,0.9062040159715676,0.8244047619047619,0.7709741550695826,0.8857925993604385,0.3781621263414586
0.41,0.8127228804785459,0.9062040159715676,0.8259940145361265,0.7762153475291281,0.8825947921425308,0.3781621263414586
0.42,0.8141033015069596,0.9062040159715676,0.826385904598195,0.7801217038539554,0.8784833257195066,0.3781621263414586
0.43,0.8158288277924767,0.9062040159715676,0.8270871584404363,0.7844703954107765,0.8746002740977615,0.3781621263414586
0.44,0.8162889681352813,0.9062040159715676,0.8263564205719256,0.7885453413571281,0.8679762448606669,0.3781621263414586
0.45,0.8159438628781779,0.9062040159715676,0.8248303043573462,0.7920521446593777,0.8604385564184559,0.3781621263414586
0.46,0.8164040032209824,0.9062040159715676,0.8242677824267782,0.7957057823129252,0.854956601187757,0.3781621263414586
0.47,0.8174393189922926,0.9062040159715676,0.824349750968456,0.7996564311788705,0.8506167199634537,0.3781621263414586
0.48,0.8182445645922006,0.9062040159715676,0.8237000669493416,0.8051919720767888,0.8430790315212425,0.3781621263414586
0.49,0.8189347751064074,0.9062040159715676,0.8227876604368386,0.8112788632326821,0.8346276838739151,0.3781621263414586
0.5,0.8169791786494881,0.9062040159715676,0.8193482457136368,0.8146308421765636,0.8241206030150754,0.3781621263414586
0.51,0.8172092488208904,0.9062040159715676,0.8177125157737754,0.8213874164554045,0.8140703517587939,0.3781621263414586
0.52,0.8162889681352813,0.9062040159715676,0.814711683489964,0.8278707851921716,0.8019643672910004,0.3781621263414586
0.53,0.8162889681352813,0.9062040159715676,0.8127125601032016,0.8351409978308026,0.7914572864321608,0.3781621263414586
0.54,0.8154837225353733,0.9062040159715676,0.8099526066350711,0.8414574101427869,0.7807217907720421,0.3781621263414586
0.55,0.8147935120211665,0.9062040159715676,0.8076923076923077,0.8465197796695042,0.7722704431247145,0.3781621263414586
0.56,0.8142183365926607,0.9062040159715676,0.8051634696585837,0.8532344668882639,0.762220191868433,0.3781621263414586
0.57,0.8118025997929369,0.9062040159715676,0.8007308160779537,0.857776617954071,0.7507994518044769,0.3781621263414586
0.58,0.8091567928218106,0.9062040159715676,0.7957148134466199,0.8632113278119156,0.7380082229328461,0.3781621263414586
0.59,0.807776371793397,0.9062040159715676,0.7923449732819684,0.8689016080675933,0.7281863864778437,0.3781621263414586
0.6,0.8045553893937651,0.9062040159715676,0.7867453244634116,0.8732237392031207,0.7158519872087711,0.3781621263414586
0.61,0.8022546876797423,0.9062040159715676,0.7824326034679154,0.8773772353108147,0.7060301507537688,0.3781621263414586
0.62,0.7990337052801104,0.9062040159715676,0.7765698938483182,0.8823016564952049,0.6934673366834171,0.3781621263414586
0.63,0.7963878983089843,0.9062040159715676,0.7713178294573644,0.8878643664485425,0.6818181818181818,0.3781621263414586
0.64,0.7968480386517888,0.9062040159715676,0.7698722960646338,0.8962378640776699,0.6747373229785291,0.3781621263414586
0.65,0.794547336937766,0.9062040159715676,0.7654320987654321,0.9004944375772559,0.665600730927364,0.3781621263414586
0.66,0.7925917404808467,0.9062040159715676,0.7610337972166998,0.9065361540890433,0.6557788944723618,0.3781621263414586
0.67,0.7908662141953295,0.9062040159715676,0.7567567567567568,0.91343669250646,0.6459570580173595,0.3781621263414586
0.68,0.7892557229955136,0.9062040159715676,0.7529665587918015,0.9190256747860435,0.6377341251713111,0.3781621263414586
0.69,0.7881053721385023,0.9062040159715676,0.75,0.9240802675585285,0.6311100959342165,0.3781621263414586
0.7,0.786264810767284,0.9062040159715676,0.7457580733442802,0.9300341296928327,0.6224303334856098,0.3781621263414586
