stage,n_folds,oof_acc,oof_logloss,oof_auc,mean_best_iter,elapsed_seconds,description,stage_description,delta_vs_A1,delta_vs_A0
A0,5,0.8127228804785459,0.38258140968718823,0.9046187431416007,400.0,2.4340167909977026,Legacy bundle + StratifiedKFold + default params (current team baseline),Legacy bundle + StratifiedKFold + default params (current team baseline),0.0025,0.0
A1,5,0.8101921085931209,0.3799172577221353,0.9048249781510523,192.6,2.617211834003683,Legacy bundle + StratifiedGroupKFold + early stopping (honest CV of the status quo),Legacy bundle + StratifiedGroupKFold + early stopping (honest CV of the status quo),0.0,-0.0025
A2,5,0.814333371678362,0.3783601293780095,0.9057866494592418,349.4,3.464766041986877,Common features + native category dtype + STRONG_PARAMS + early stopping,Common features + native category dtype + STRONG_PARAMS + early stopping,0.0041,0.0016
A3,5,0.8170942137351892,0.37867977315737417,0.9055375370479279,332.8,3.7564334999769926,A2 + fold-aware SurnameFreq/CabinNumBin + fold-safe target encoding,A2 + fold-aware SurnameFreq/CabinNumBin + fold-safe target encoding,0.0069,0.0044
A3b,5,0.8150235821925688,0.3788374604551026,0.9053064490259155,286.2,4.162351333012339,A3 + OOF target encoding + group-level aggregates,A3 + OOF target encoding + group-level aggregates,0.0048,0.0023
A4,5,0.8183595996779017,0.37969659646573306,0.9052171740404329,321.2,2.7029303750023246,A3 + Optuna-tuned parameters,A3 + Optuna-tuned parameters,0.0082,0.0056
A5,5,0.8183595996779017,0.37969659646573306,0.9052171740404329,321.2,2.7029303750023246,A4 + threshold scan (best=0.500),A4 + threshold scan (0.500); rule audit Δacc=-0.0020 [disabled],0.0082,0.0056
A7,5,0.8199700908777177,0.37845155667969627,0.905731491122525,326.1,5.734744833025616,Blend(plain×0.45 + OOFte×0.55) @ t=0.510,Blend(plain×0.45 + OOFte×0.55) @ t=0.510 — plain OOF=0.8184 OOFte OOF=0.8177,0.0098,0.0072
A6,5,0.8183595996779017,0.3786038785947481,0.9055333287103378,321.2,13.603697917016689,5-seed bagging + threshold=0.500,5-seed bagging (per-seed OOF acc min/max = 0.8143/0.8184) + threshold=0.500,0.0082,0.0056
