feature,gain,weight,cover,view
IsZeroSpend,244.83641052246094,23.0,712.854150390625,compact_plus_age
SpendCount,34.57451820373535,123.2,233.994384765625,compact_plus_age
CryoSleep,21.07566318511963,111.0,339.3452575683594,compact_plus_age
Deck,16.784572982788085,222.8,211.0335266113281,compact_plus_age
log1p_TotalSpend,10.79083309173584,315.0,231.44012756347655,compact_plus_age
Side,9.673665618896484,71.8,136.63115844726562,compact_plus_age
DeckSide,9.052237606048584,624.2,303.6214599609375,compact_plus_age
Spa,8.067902088165283,517.4,252.36474609375,compact_plus_age
VRDeck,7.994734001159668,483.8,250.77345581054686,compact_plus_age
log1p_VRDeck,7.915865325927735,244.0,243.83980407714844,compact_plus_age
log1p_Spa,7.853410339355468,223.2,256.89634704589844,compact_plus_age
RoomService,7.21525993347168,479.8,265.972705078125,compact_plus_age
log1p_RoomService,6.632565116882324,187.4,265.83017883300784,compact_plus_age
TotalSpend,6.28876953125,712.0,214.3337188720703,compact_plus_age
CabinNumBin,5.769861316680908,353.8,230.41329345703124,compact_plus_age
IsChild,5.381682014465332,33.2,124.51310272216797,compact_plus_age
AgeGroup,3.9385221004486084,269.4,181.7209930419922,compact_plus_age
IsSenior,2.5057231426239013,9.8,218.09935455322267,compact_plus_age
CryoSleepSpendAnomaly,0.0,0.0,0.0,compact_plus_age
