threshold,accuracy
0.3,0.7944323018520649
0.31,0.7956976877947775
0.32,0.7983434947659036
0.33,0.7988036351087081
0.34,0.8017945473369378
0.35000000000000003,0.802829863108248
0.36000000000000004,0.8047854595651673
0.37000000000000005,0.8049004946508685
0.38000000000000006,0.8054756700793743
0.39000000000000007,0.8076613367076958
0.4000000000000001,0.8088116875647072
0.4100000000000001,0.8100770735074198
0.4200000000000001,0.8112274243644312
0.4300000000000001,0.8134130909927528
0.4400000000000001,0.8138732313355573
0.4500000000000001,0.8151386172782699
0.46000000000000013,0.8162889681352813
0.47000000000000014,0.816864143563787
0.48000000000000015,0.8172092488208904
0.49000000000000016,0.8173242839065915
0.5000000000000002,0.8183595996779017
0.5100000000000002,0.8178994593350972
0.5200000000000002,0.817784424249396
0.5300000000000002,0.8164040032209824
0.5400000000000003,0.8142183365926607
0.5500000000000003,0.8118025997929369
0.5600000000000003,0.8101921085931209
0.5700000000000003,0.8085816173933049
0.5800000000000003,0.8072011963648913
0.5900000000000003,0.8061658805935811
0.6000000000000003,0.8047854595651673
0.6100000000000003,0.8042102841366617
0.6200000000000003,0.8024847578511446
0.6300000000000003,0.8019095824226389
0.6400000000000003,0.800299091222823
0.6500000000000004,0.7988036351087081
0.6600000000000004,0.7984585298516047
0.6700000000000004,0.7982284596802025
0.6800000000000004,0.7976532842516968
0.6900000000000004,0.7951225123662717
0.7000000000000004,0.7925917404808467
