trial,acc,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,gamma,reg_alpha,reg_lambda
14,0.8189347751064074,0.034073311508795175,6,4,0.8032543331272481,0.7102136661660048,0.6967547898457066,0.8005766687443254,0.4376590450057396,0.6313050318161066
42,0.8184746347636029,0.0411731686758367,5,4,0.7689409031249094,0.6084196799701662,0.9890276527526674,0.08748086967103706,0.5951012793896266,2.7904712538718637
45,0.8184746347636029,0.04099707378651697,6,4,0.7662361159319768,0.6004489832389173,0.6198042123991527,0.1704470444610549,0.41103485311739024,2.590732027378128
40,0.8181295295064995,0.04250570779629663,5,4,0.7879602701535565,0.6391227287008223,0.6496176305233878,0.0014500117927535028,0.5942850411461449,2.4178470853896425
2,0.817784424249396,0.0321454970127808,5,4,0.7778987721304084,0.6876433945605654,0.7465447373174766,0.45606998421703593,0.7851759613930136,0.9991844553958993
3,0.817784424249396,0.03518699474461263,6,1,0.8715089703802876,0.6511572371061874,0.6260206371941118,0.9488855372533332,0.9656320330745594,2.5209933702911527
31,0.8176693891636949,0.0511603191175631,5,4,0.8486397777448775,0.7104597907406888,0.7256337883956192,0.9984966875494207,0.6852634187905131,1.4686433086572348
35,0.8175543540779938,0.04383595438495928,5,4,0.8590485200204261,0.6817282977931407,0.7279636789046522,0.8352355307521029,0.8395523470017898,1.1862928479214274
28,0.8174393189922926,0.04762865304816176,5,4,0.8473339738088557,0.702758491108978,0.7181878757669086,0.9918876700935751,0.7049211433340474,1.4974328634626393
7,0.8172092488208904,0.0295967886024223,5,3,0.7781848449949526,0.8406590942262119,0.6298202574719083,0.9868869366005173,0.7722447692966574,0.996789203835431
